Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,citation_id,scholar_id,dosen,source
Aditya Prapanca,WdhKN0sAAAAJ,Perancangan Dan Implementasi Sistem Penyimpanan Digital Berbasis WEB di CV. SKM INDONESIA.,2026,"Journal of Informatics and Computer Science (JINACS), 563-567, 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:4hFrxpcac9AC,,,,,,WdhKN0sAAAAJ:4hFrxpcac9AC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan E-Modul Berbasis Web Dengan Model Pembelajaran PjBL Pada Mata Pelajaran TJKT di SMKN 1 Kemlagi,2026,"IT-Edu: Jurnal Information Technology and Education 11 (01), 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:a9-T7VOCCH8C,,,,,,WdhKN0sAAAAJ:a9-T7VOCCH8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Yuni Yamasari, Anita Qoiriah, Ricky Eka Putra, Aditya Prapanca, I Made Suartana",WdhKN0sAAAAJ;hn5jrnAAAAAJ;N6RJilIAAAAJ;cPj-iOIAAAAJ;RvG7jG4AAAAJ,Pelatihan Aplikasi Komputer untuk Penulisan Ilmiah di SMPN 1 Pagerwojo Tulungagung Jawa Timur: Computer Application Training for Scientific Writing at SMPN 1 Pagerwojo …,2025,"PengabdianMu: Jurnal Ilmiah Pengabdian kepada Masyarakat 10 (8), 1936-1943, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:LO7wyVUgiFcC,,,,,,WdhKN0sAAAAJ:LO7wyVUgiFcC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Sistem Rekomendasi Film Berbasis Web Menggunakan Algoritma Collaborative Filtering,2025,"Journal of Informatics and Computer Science (JINACS) 7 (01), 50-56, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:8d8msizDQcsC,,,,,,WdhKN0sAAAAJ:8d8msizDQcsC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Implementasi Algoritma C5. 0 Pada Klasifikasi Status Gizi Balita Di Kecamatan Ponorogo,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1089-1098, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:_FM0Bhl9EiAC,,,,,,WdhKN0sAAAAJ:_FM0Bhl9EiAC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Aplikasi Human Resource Information System Berbasis Mobile Dengan Absensi Wajah Menggunakan Metode CNN Pada BMT Bahtera Pekalongan,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1020-1038, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:4fGpz3EwCPoC,,,,,,WdhKN0sAAAAJ:4fGpz3EwCPoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Analisis Quality Of Service Menggunakan Metode Queue Tree Sebagai Manajemen Bandwidth Pada Jaringan Internet PT. Timber Kreasi,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1010-1019, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:bz8QjSJIRt4C,,,,,,WdhKN0sAAAAJ:bz8QjSJIRt4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Modified FATA Morgana Algorithm Based on Levy Flight,2025,"Vokasi Unesa Bulletin of Engineering, Technology and Applied Science 2 (1), 1-11, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:kh2fBNsKQNwC,,,,,,WdhKN0sAAAAJ:kh2fBNsKQNwC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Sistem Penjadwalan Keberangkatan Kapal Berbasis Web Dengan Arsitektur Model View Controller Menggunakan Algoritma Genetika,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 891-902, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Ri6SYOTghG4C,,,,,,WdhKN0sAAAAJ:Ri6SYOTghG4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
Aditya Prapanca,WdhKN0sAAAAJ,Sistem Rekomendasi Motif Batik Sesuai dengan Kebutuhan Acara Pernikahan Pengguna Menggunakan Metode Content-Based Filtering,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 823-829, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:YohjEiUPhakC,,,,,,WdhKN0sAAAAJ:YohjEiUPhakC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
