Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR
Muhammad Rahulil; Yuni Yamasari; Ricky Eka Putra; I. Made Suartana; Anita Qoiriah,60243635600; 57193733535; 56038565900; 57189691714; 57201351214,"Rule-Based Adaptive Chatbot on WhatsApp for Visual, Auditory, and Kinesthetic Learning Style Detection",2026,Journal of Electronics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025053536&doi=10.35882%2fjeeemi.v8i1.1215&partnerID=40&md5=19f619fd2f1eef9cf5febfaa5e252e2b,"Adapting learning methods to individual learning styles remains a major challenge in digital education due to the static nature of traditional questionnaires and the absence of adaptive feedback mechanisms. This study aimed to develop a rule-based adaptive WhatsApp chatbot capable of automatically identifying users’ learning styles, visual, auditory, and kinesthetic, through a weighted questionnaire enhanced with probabilistic refinement. The proposed system introduces an adaptive decision framework that dynamically manages conversation flow using score dominance evaluation, early termination, and selective question expansion. Bayesian posterior probability estimation is employed to strengthen decision confidence in borderline cases, ensuring consistent and interpretable results even when user responses are ambiguous. The chatbot was implemented using WhatsApp-web.js and MongoDB, supported by session validation and activity log monitoring to ensure operational reliability and data integrity. System validation involved white-box testing using Cyclomatic Complexity to verify logical accuracy and 20-fold cross-validation using a Support Vector Machine (SVM) to evaluate classification performance. The adaptive model achieved an accuracy of 80.2% and an AUC of 0.902, supported by a balanced precision (0.738), recall (0.662), and F1-score (0.698). These results demonstrate stable discriminative capability and confirm that the adaptive scoring mechanism effectively reduces redundant questioning, lowers cognitive load, and improves interaction efficiency without compromising reliability. In conclusion, the study successfully achieved its objective of developing an adaptive, efficient, and mathematically transparent learning style detection system. The findings confirm that adaptive rule-based logic reinforced by probabilistic reasoning can significantly enhance the efficiency and reliability of digital learning assessments. Future research will extend this framework by incorporating multimodal behavioral indicators and personalized learning content to further strengthen adaptive learning support. © 2025 by the authors.",Adaptive System; Bayesian Inference; Chatbot; Learning Styles; Personalized Learning,Article,10.35882/jeeemi.v8i1.1215,"A rule-based adaptive WhatsApp chatbot capable of automatically identifying users’ learning styles, visual, auditory, and kinesthetic, through a weighted questionnaire enhanced with probabilistic refinement is developed."
Naim Rochmawati; Chastine Fatichah; Bilqis Amaliah; Agus Budi Raharjo; Frederic Dumont; Emilie Thibaudeau; Cedric Dumas,57195258934; 35811948800; 43260972600; 57196345296; 7103314534; 36617932300; 16645562300,Peritoneal Carcinomatosis Detection Based on Improved YOLOv8 With Attention Mechanism and Optimized Backbone Integration,2026,IEEE Access,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026498326&doi=10.1109%2fACCESS.2025.3650190&partnerID=40&md5=aad6b190b700a6a6caf9a1e4af39b5bf,"Peritoneal Carcinomatosis (PC) represents a severe form of metastatic cancer, with lesions spreading across the peritoneum and often leading to a poor prognosis. Early detection of PC lesions is essential for timely treatment, yet identifying smaller lesions in medical images remains challenging due to their subtle appearance and varied sizes. Traditional detection techniques often fall short in this area, underscoring the need for more advanced solutions. This study introduces improvements to the YOLOv8 architecture aimed at enhancing the detection of small PC lesions in laparoscopic images. The proposed modifications include adding a Convolutional Block Attention Module (CBAM) to improve feature extraction, incorporating a P2 layer for better detection of small objects, and using a CIoU loss function for more effective training. CIoU demonstrated superior performance in our ablation study compared to DIoU, WIoU, GIoU, EIoU, and SIoU. Experimental results across Nano, Small, and Medium model scales demonstrated significant gains in Precision, Recall, mAP50, and F1 Score over the original YOLOv8. The modified model achieved a Precision of 0.887, Recall of 0.769, mAP50 of 0.861, and an F1 Score of 0.824. Ablation studies validated the benefits of each modification, with the enhanced model outperforming other YOLO versions (v5–v10) and transformer-based detectors such as RT-DETR, as well as alternative attention mechanisms including ECA and SA. These findings highlight the effectiveness of the proposed YOLOv8 modifications for detecting small lesions in medical imaging. © 2013 IEEE.",attention mechanism; CBAM; detection; peritoneal carcinomatosis; YOLOv8,Article,10.1109/ACCESS.2025.3650190,
Hei-Chia Wang; Cendra Devayana Putra; Hsin-Tzu Weng,8514208600; 58922897800; 59938055300,Avoiding toxicity and prejudice in chatbots with knowledge distillation,2026,Knowledge and Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026260539&doi=10.1007%2fs10115-025-02612-1&partnerID=40&md5=2e0bf9900147fdb6f0c7c4b869cb8afc,"We propose a method based on knowledge distillation to deal with adversarial attacks in chatbots, where malicious users deliberately input toxic dialogues to make the bot imitate their speech. The approach involves establishing a good teacher who only learns clean dialogues to increase the probability of clean dialogues being output by students and a nasty teacher who only knows toxic dialogues to reduce the probability of toxic dialogues. We find that the temperature hyperparameter for the good and nasty teachers should be set to 20 and 10, respectively, and the model with knowledge distillation can learn more knowledge than the model without distillation. The results show that the proposed bi-long short-term memory (LSTM) + dual teachers of knowledge distillation (DTKD) model helps improve dialogue ability. The study provides directions and suggestions for future research, including finding suitable datasets and extending the design of knowledge distillation architecture and toxicity detection. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.",Adversarial attack; Chatbot; Knowledge distillation; Toxicity detection,Article,10.1007/s10115-025-02612-1,The results show that the proposed bi-long short-term memory (LSTM) + dual teachers of knowledge distillation (DTKD) model helps improve dialogue ability.
Ganjar Setyo Widodo; Ekohariadi; Yeni Anistyasari; Wahyu Budi Sabtiawan; Tri Rijanto; Abu Zainuddin; Dhani Kristiandri; Layli Hidayah; Sheila Ayu Pratama,57212678532; 57195553791; 53263227700; 57195060766; 57216963152; 57214700784; 60091571400; 58803282200; 60090612700,Collaborative assessment in education: A systematic review of practices and impact in schools (2014–2024),2026,Multidisciplinary Reviews,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020707342&doi=10.31893%2fmultirev.2026241&partnerID=40&md5=f7746ec0790381a79b5ae022be505c42,"Collaborative assessment has seen rapid development in the last decade in response to the need for more participatory and learner-centered learning. However, the global literature shows significant disparities in geographical distribution and cultural approaches, with the majority of studies originating from individualistic Western countries. The goal of the current study is to systematically look at the trends, implementation models, and challenges of collaborative assessment in primary and secondary schools from 2014 to 2024. The researchers employed a PRISMA-based systematic review and bibliometric approach, and selected 120 articles from 2,500 publications through Scopus, ERIC, and Web of Science databases and policy repositories. The analysis process was carried out through NVivo-assisted thematic synthesis and bibliometric mapping using VOSviewer. Findings showed that the literature was heavily concentrated in North America and Europe (68%), with limited representation from the Global South (12%). Methodologically, qualitative (31%) and experimental (23%) studies dominated, while longitudinal designs remained scarce (7.5%). The quality of studies varied widely, with only 18% employing randomized controlled trials. The thematic analysis identified four main patterns, including collaborative assessment models, major barriers, the importance of cultural adaptation, and the neglect of inclusivity. The review underscores the effectiveness of collaborative assessment in improving student self-efficacy and parental engagement, particularly through triadic conferencing and the use of digital portfolios. However, the scalability of collaborative assessment in the previous studies is limited by problems such as teacher resistance, gaps in technology access, and a lack of inclusiveness for learners with special needs. The review also highlights urgent gaps in geographic coverage, methodological rigor, inclusive design, and equitable access. Finally, the study recommends the implementation of collaborative assessment models that are more culturally adaptive and inclusive, strengthened teacher capacity, and policies which support sustainable and equitable implementation. © 2026, Malque Publishing. All rights reserved.",collaborative assessment; cultural gap; inclusive education; parent involvement; self-efficacy,Article,10.31893/multirev.2026241,
Wahyu Budi Sabtiawan; Wasis; Tri Rijanto; Yurizka Melia Sari; Elok Sudibyo; Binar Kurnia Prahani; Yeni Anistyasari; Abu Zainuddin; Dhani Kristiandri; Ganjar Setyo Widodo; Layli Hidayah; Sheila Ayu Pratama,57195060766; 57195518718; 57216963152; 57213319430; 57202548662; 57207944019; 53263227700; 57214700784; 60091571400; 57212678532; 58803282200; 60090612700,An alternative assessment instrument for science teachers’ ability in designing and implementing assessments,2026,Multidisciplinary Science Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015469080&doi=10.31893%2fmultiscience.2026130&partnerID=40&md5=b7f4810bce01ef044ec8bb7bf614b9ad,"Designing and implementing assessments are essential abilities for teachers. Both abilities must be assessed and trained. An alternative assessment can be one solution that can be used to assess and train both abilities. Thus, this study aims to evaluate the quality of the developed alternative assessment instrument on the basis of content validity and reliability. The method for testing content validity uses Aiken and extended Gregory’s formula, in which the instrument is focused on content validity. For reliability testing, this instrument is evaluated on the basis of internal reliability, rater reliability, and generalizability theory. The alternative assessment instrument as a project-based assessment consisted of three parts, namely, planning, implementation, and reflection and follow-up. The instrument is evaluated by three experts, and the results are processed via statistical analysis. The Aiken formula yields average validity index results for the planning, implementation, reflection and follow-up parts, with values of 0.87, 0.83, and 0.81, respectively. Using the Gregory formula, the validation index of the instrument is 0.90. The Cronbach’s a is 0.939, and McDonald’s w is 0.958, indicating that the instrument has a very high level of reliability. The value of Fleiss’ kappa is 0.742. The two values of the ICC are 0.798 (consistency) and 0.806 (agreement). Using generalizability theory, values of 0.9220 (generalizability coefficient, G) and 0.9220 (dependability coefficient (F) are obtained. The findings indicate that the instrument can be classified as valid or reliable on the basis of content validity, internal reliability, and rater reliability. The novelty of the instrument is that it not only assesses teachers’ ability but also provides stages that guide teachers in designing, implementing, and following up on the shortcomings and advantages of implementing the assessments. © Copyright (c) 2025 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.",alternative assessment; content validity; generalizability theory; internal reliability; rater reliability,Article,10.31893/multiscience.2026130,
Kurnia Cahya Febryanto; Izzat Aji Androfaza; Lalu Aldo Wadagraprana; Riyanarto Sarno; Kelly Rossa Sungkono; Yeni Anistyasari; Joko Siswantoro; A Min Tjoa,59748680400; 60192240900; 60192854700; 53264815700; 57189996441; 53263227700; 56192714800; 60337774600,BPMN graph transformation: A unified multi-format parser library for standardized graph-based business process model integration,2026,SoftwareX,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029085042&doi=10.1016%2fj.softx.2026.102548&partnerID=40&md5=ea1ab4654a99e2183498ddb777fa59a8,"Heterogeneous Business Process Model and Notation (BPMN) platforms present critical integration challenges, as approximately 75% of large enterprises employ multiple modeling tools lacking unified transformation capabilities. Existing solutions address only single-format conversions or provide limited cross-platform compatibility without comprehensive validation. This paper presents a production-ready multi-format BPMN parser library uniquely integrating intelligent format detection, dual-tier validation, and optimized graph transformation within a unified architecture. The library utilizes specialized parsers for BPMN 2.0 XML, XML Process Definition Language (XPDL) 2.2, native formats, and Microsoft Visio diagrams through a plugin-based architecture. Multi-criteria detection algorithms automatically identify source formats with 99.2% accuracy by analyzing file signatures, XML namespaces, structural patterns, and content heuristics. The dual-tier validation framework ensures structural BPMN 2.0 compliance through rule-based constraints derived from official OMG specifications and semantic consistency through metadata quality assessment based on established process modeling guidelines, surpassing existing tools that perform only syntactic validation. The transformation pipeline generates standardized Cypher queries optimized for process mining workflows. Evaluation across 127 real-world business process models demonstrates 98.7% overall parsing accuracy, with format-specific performance ranging from 97.2% (Visio) to 99.8% (BPMN XML), achieving 85% reduction in transformation time compared to manual approaches. Released as open-source software via the Python Package Index with complete documentation, the library establishes foundational infrastructure for cross-platform business process intelligence, enabling unified graph-based analytics across heterogeneous modeling ecosystems without format-specific preprocessing. Copyright © 2026. Published by Elsevier B.V.",BPMN; Cross-platform; Graph-transformation; Interoperability; Model-transformation; Multi-format-parsing,Article,10.1016/j.softx.2026.102548,
Murtini Murtini; Nurhayati Nurhayati; Usman R. Iman; Fitri Y. Zulkifli; Dewiani Dewiani; Lilik Anifah,59394606800; 57190439932; 58796435900; 24484254500; 60286162200; 55648855000,MicrOstrip Array Antenna Design fOr a 24 GHz Radar-Based Vital Signs MOnitOring System,2026,Progress in Electromagnetics Research B,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026755522&doi=10.2528%2fPIERB25101302&partnerID=40&md5=116c089a496d1fe91310ecc61652e7e1,"Non-contact vital sign monitoring using radar technology has become increasingly important in modern healthcare, as it enables continuous physiological measurements without direct contact with the skin, minimizing patient discomfort and the risk of infection. To address this need, this study presents the design and analysis of a 24 GHz microstrip antenna array developed for a radarbased vital sign monitoring system. Array configurations consisting of one to five circular patch elements were analyzed to optimize the reflection coefficient, directivity, and radiation characteristics, with the aim of achieving high sensitivity, compactness, and safety for biomedical radar applications. Simulation results show that the four-element array achieves optimal performance, with a reflection coefficient of −39.27 dB, directivity of 5.29 dBi, and a bandwidth of 1.35 GHz at 24 GHz. To evaluate electromagnetic safety, Specific Absorption Rate (SAR) analysis using a three-layer human tissue model (skin, fat, and muscle) resulted in values of 0.159 W/kg (1 g) and 0.022 W/kg (10 g), both within ICNIRP and FCC limits. Additionally, bending simulations with a radius of curve at 10 mm, 20 mm, 30 mm and 40 mm showed stable impedance matching and minimal frequency variation, demonstrating high mechanical flexibility. On the whole, the proposed antenna exhibits high gain, reliable performance, and safety compliance, making it suitable for integration into portable radar-based medical devices for continuous, contactless monitoring of heart rate and respiration. © 2026, Electromagnetics Academy. All Rights Reserved.",,Article,10.2528/PIERB25101302,
Rasyidi Faiz Akbar; Harlina Meidiaswati; R.A. Sista Paramita; Nunik Dwi Kusumawati; Achmad Kautsar; Eunike Febrianti Sanjaya,58850805300; 57218284737; 60107803800; 57223969158; 57202283774; 60106640000,Political uncertainty and stock market volatility: A comparative analysis of presidential elections in sub-ASEAN markets,2026,Multidisciplinary Science Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016592583&doi=10.31893%2fmultiscience.2026218&partnerID=40&md5=598a664188b5a54a09b578538c5f0423,"This paper examines the impact of presidential elections on stock return volatility in four selected Sub-South East Asian stock markets: Indonesia, Malaysia, Thailand, and the Philippines. Using a generalised autoregressive conditional heteroscedasticity (GARCH) model, this study incorporates pre- and post-election dummy variables to assess the effect of presidential elections on market volatility. The findings reveal that heightened uncertainty before the elections significantly increases stock market volatility across all four countries. Additionally, the study highlights that investors' limited understanding of post-election government policies further drives market volatility for up to 90 days after the election. In contrast to previous research focused on individual leading countries, this paper offers a comparative analysis of countries with similar political and economic conditions, providing new insights into the broader regional effects of elections on stock market behaviour. Copyright (c) 2026 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.",politic uncertainty; presidential elections; stock markets; sub-south east asia; volatility,Article,10.31893/multiscience.2026218,
Hafid Kholidi Hadi; Ika Diyah Candra Arifah; Anita Safitri; Muhammad Fajar Wahyudi Rahman,57201877528; 57395409700; 57865772100; 58949238400,Authentic leadership and readiness for change: Innovative work behavior in East Java startup context,2026,Multidisciplinary Science Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014883890&doi=10.31893%2fmultiscience.2026163&partnerID=40&md5=ca5300ac995ddc674bc9b879c253c8cd,"Rapidly growing startups in the digital era face dynamic challenges that demand swift adaptation and continuous innovation. Innovative work behavior is widely recognized as a key driver of startup success, particularly in rapidly developing regions such as East Java. This study aims to examine the relationship between authentic leadership and readiness for change in influencing innovative work behavior within East Java’s startup ecosystem. Authentic leadership—characterized by integrity, transparency, self-awareness, and confidence—can foster innovation within teams, while readiness for change facilitates the effective implementation of new strategies amid market and technological uncertainties. This study employed a survey method involving 100 employees from various startups in East Java, Indonesia. Data were analyzed using a quantitative approach using the Partial Least Square-Structural Equation Modeling (PLS-SEM) with the help of SmartPLS 4 software to assess the relationships among the variables. The findings indicate that both authentic leadership and readiness for change significantly influence innovative work behavior in the startup environment. This research contributes to the human resource management literature and supports the development of Indonesia’s startup economy. Notably, this is the first study in the Indonesian startup context to examine the global relevance of authentic leadership, readiness for change, and innovative work behavior. © Copyright (c) 2025 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.",authentic leadership; innovative work behavior; readiness for change; startup,Article,10.31893/multiscience.2026163,
Fida Rachmadiarti; Ika Diyah Candra Arifah; Felix Tan; Arif Hidayat,57195929051; 57395409700; 60286243500; 57209475414,Artificial intelligence and personalized learning: Bridging the gap between algorithmic adaptation and andragogical equity,2026,Multidisciplinary Science Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026770434&doi=10.31893%2fmultiscience.2026396&partnerID=40&md5=8ddd4ea1a9ea1700a8ee6f0174accea7,"The rapid integration of Artificial Intelligence (AI) into education has advanced personalized learning, yet concerns remain about its alignment with equitable andragogy. This study addresses the need for empirical evidence on how AI personalization affects student learning while considering ethical, social, and andragogical dimensions often overlooked in tech-focused research. Unlike prior studies emphasizing technical efficiency, this mixed-method research explores both functional and ethical implications of AI-driven personalization in higher education. Using data from 150 university students on an AI-powered learning platform, the study examines how AI personalization influences learning performance, with learning experience as a mediator and AI technology acceptance as a moderator. Partial Least Squares Structural Equation Modelling (PLS-SEM) results show that AI-personalized learning enhances performance primarily through improved learning experiences. Moderation analysis reveals that students’ acceptance of AI significantly affects its effectiveness. Qualitative insights further reveal inequities in access, digital literacy, and andragogical application, raising critical concerns around fairness and critical thinking in AI-based learning environments. The study contributes to the field by integrating ethical and human-centered perspectives into the evaluation of AI in education. It advocates for inclusive, transparent, and andragogy-driven AI design, emphasizing that the transformative potential of AI relies not just on its technical capabilities but on its alignment with educational values. The findings provide both theoretical and practical implications for educators, designers, and policymakers aiming to create equitable digital learning systems. © 2026, Malque Publishing. All rights reserved.",andragogical equity; artificial intelligence; learning experience; personalized learning; technology acceptance,Article,10.31893/multiscience.2026396,"Results show that AI-personalized learning enhances performance primarily through improved learning experiences, and moderator analysis reveals that students’ acceptance of AI significantly affects its effectiveness."
