source,target,weight,first_year,last_year
Anita Qoiriah,I Made Suartana,3,2023,2026
I Made Suartana,Yuni Yamasari,3,2022,2026
I Made Suartana,Ricky Eka Putra,7,2021,2026
Anita Qoiriah,Yuni Yamasari,18,2020,2026
Anita Qoiriah,Ricky Eka Putra,7,2020,2026
Ricky Eka Putra,Yuni Yamasari,6,2020,2026
Ekohariadi,Tri Rijanto,3,2021,2026
Ekohariadi,Yeni Anistyasari,12,2018,2026
Tri Rijanto,Yeni Anistyasari,3,2024,2026
Lilik Anifah,Nurhayati,5,2022,2026
Anita Safitri,Hafid Kholidi Hadi,6,2022,2026
Anita Safitri,Muhammad Fajar Wahyudi Rahman,5,2024,2026
Anita Safitri,Ika Diyah Candra Arifah,3,2022,2026
Hafid Kholidi Hadi,Muhammad Fajar Wahyudi Rahman,5,2023,2026
Hafid Kholidi Hadi,Ika Diyah Candra Arifah,4,2024,2026
Ika Diyah Candra Arifah,Muhammad Fajar Wahyudi Rahman,2,2022,2026
Dodik Arwin Dermawan,Faris Abdi El Hakim,1,2026,2026
Dimas Novian Aditia Syahputra,Faris Abdi El Hakim,1,2026,2026
Faris Abdi El Hakim,Moch Deny Pratama,1,2026,2026
Faris Abdi El Hakim,Salamun Rohman Nudin,1,2026,2026
Asmunin,Faris Abdi El Hakim,1,2026,2026
Andi Iwan Nurhidayat,Faris Abdi El Hakim,1,2026,2026
Dimas Novian Aditia Syahputra,Dodik Arwin Dermawan,5,2024,2026
Dodik Arwin Dermawan,Moch Deny Pratama,1,2026,2026
Dodik Arwin Dermawan,Salamun Rohman Nudin,3,2024,2026
Asmunin,Dodik Arwin Dermawan,2,2024,2026
Andi Iwan Nurhidayat,Dodik Arwin Dermawan,1,2026,2026
Dimas Novian Aditia Syahputra,Moch Deny Pratama,1,2026,2026
Dimas Novian Aditia Syahputra,Salamun Rohman Nudin,2,2026,2026
Asmunin,Dimas Novian Aditia Syahputra,1,2026,2026
Andi Iwan Nurhidayat,Dimas Novian Aditia Syahputra,1,2026,2026
Moch Deny Pratama,Salamun Rohman Nudin,1,2026,2026
Asmunin,Moch Deny Pratama,1,2026,2026
Andi Iwan Nurhidayat,Moch Deny Pratama,1,2026,2026
Asmunin,Salamun Rohman Nudin,2,2024,2026
Andi Iwan Nurhidayat,Salamun Rohman Nudin,1,2026,2026
Andi Iwan Nurhidayat,Asmunin,3,2018,2026
Dimas Novian Aditia Syahputra,I Gde Agung Sri Sidhimantra,3,2024,2026
I Gde Agung Sri Sidhimantra,Salamun Rohman Nudin,2,2024,2026
