nama_dosen,prodi,n_papers_total,corpus_source,corpus_n_tokens
"Aditya Prapanca, S.T., M.Kom.",S1 Teknik Informatika,89,scopus,1361
"Anita Qoiriah, S.Kom., M.Kom.",S1 Teknik Informatika,112,scopus,2330
"Dr. Yuni Yamasari, S.Kom., M.Kom.",S2 Informatika,37,scopus,3935
"Agus Prihanto, S.T., M.Kom.",S1 Teknik Informatika,87,scopus,668
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",S2 Informatika,21,scopus,2317
"I Made Suartana, S.Kom., M.Kom.",S1 Teknik Informatika,75,scholar_fallback,755
"Naim Rochmawati, S.Kom., M.T.",S1 Teknik Informatika,70,scopus,2890
"Paramitha Nerisafitra, S.ST., M.Kom.",S1 Teknik Informatika,56,scopus,682
"Ronggo Alit, M.M., M.T.",Pendidikan Profesi Guru,3,scopus,324
"Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",S2 Informatika,8,scopus,880
"Farhanna Mari, S.Kom., M.Kom.",S1 Teknik Informatika,32,scopus,1272
"Rifqi Abdillah, M.Kom.",S1 Teknik Informatika,8,scopus,930
"Dr.  Wiyli Yustanti, S.Si., M.Kom.",S2 Informatika,23,scopus,2395
"Dr. I Kadek Dwi Nuryana, S.T., M.Kom.",S1 Pendidikan Teknologi Informasi,0,no_data,0
"Dwi Fatrianto Suyatno, S.Kom., M.Kom.",S1 Sistem Informasi,65,scholar_fallback,852
"Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",S1 Sistem Informasi,19,scopus,2177
"Ardhini Warih Utami, S.Kom., M.Kom.",S1 Sistem Informasi,59,scopus,337
"Rahadian Bisma, S.Kom., M.Kom.",S1 Sistem Informasi,46,scopus,886
"Ghea Sekar Palupi, S.Kom., M.I.M.",S1 Sistem Informasi,34,scopus,605
"Bonda Sisephaputra, M. Kom.",S1 Informatika (Kampus Kabupaten Magetan),36,scopus,501
"Berlian Maulidya Izzati, S.Kom. M.Kom.",S1 Sistem Informasi,30,scopus,1081
"Anggraeni Widya Purwita, M.Kom.",S1 Sistem Informasi,12,scopus,730
"Monica Cinthya, M.Kom.",S1 Sistem Informasi,10,scopus,462
"Cendra Devayana Putra, S.Kom., M.IM.",S1 Sistem Informasi,26,scopus,1166
"Erik Rahman, S.Kom., M.M.S.I.",S1 Sistem Informasi,23,scholar_fallback,229
