nama_dosen,prodi,dominant_topic,thematic_cluster
"Aditya Prapanca, S.T., M.Kom.",S1 Teknik Informatika,0,1
"Anita Qoiriah, S.Kom., M.Kom.",S1 Teknik Informatika,0,1
"Dr. Yuni Yamasari, S.Kom., M.Kom.",S2 Informatika,0,1
"Agus Prihanto, S.T., M.Kom.",S1 Teknik Informatika,0,1
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",S2 Informatika,0,1
"I Made Suartana, S.Kom., M.Kom.",S1 Teknik Informatika,2,3
"Naim Rochmawati, S.Kom., M.T.",S1 Teknik Informatika,0,1
"Paramitha Nerisafitra, S.ST., M.Kom.",S1 Teknik Informatika,0,1
"Ronggo Alit, M.M., M.T.",Pendidikan Profesi Guru,0,1
"Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",S2 Informatika,0,1
"Farhanna Mari, S.Kom., M.Kom.",S1 Teknik Informatika,0,1
"Rifqi Abdillah, M.Kom.",S1 Teknik Informatika,0,1
"Dr.  Wiyli Yustanti, S.Si., M.Kom.",S2 Informatika,0,1
"Dwi Fatrianto Suyatno, S.Kom., M.Kom.",S1 Sistem Informasi,2,3
"Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",S1 Sistem Informasi,0,0
"Ardhini Warih Utami, S.Kom., M.Kom.",S1 Sistem Informasi,3,0
"Rahadian Bisma, S.Kom., M.Kom.",S1 Sistem Informasi,1,2
"Ghea Sekar Palupi, S.Kom., M.I.M.",S1 Sistem Informasi,1,2
"Bonda Sisephaputra, M. Kom.",S1 Informatika (Kampus Kabupaten Magetan),1,2
"Berlian Maulidya Izzati, S.Kom. M.Kom.",S1 Sistem Informasi,1,2
"Anggraeni Widya Purwita, M.Kom.",S1 Sistem Informasi,1,2
"Monica Cinthya, M.Kom.",S1 Sistem Informasi,0,1
"Cendra Devayana Putra, S.Kom., M.IM.",S1 Sistem Informasi,0,1
"Erik Rahman, S.Kom., M.M.S.I.",S1 Sistem Informasi,2,3
"Prof. Dr. Ekohariadi, M.Pd.",S2 Pendidikan Teknologi Informasi,3,0
"Drs. Bambang Sujatmiko, M.T.",S1 Pendidikan Teknologi Informasi,3,0
"Dr. Tri Rijanto, M.Pd., M.T.",S3 Penelitian dan Evaluasi Pendidikan,3,0
"Dr. Yeni Anistyasari, S.Pd., M.Kom.",S2 Pendidikan Teknologi Informasi,3,0
"I Gusti Lanang Putra Eka Prismana, S.Kom., M.Kom.",S1 Pendidikan Teknologi Informasi,2,3
"Rindu Puspita Wibawa, S.Kom., M.Kom.",S1 Pendidikan Teknologi Informasi,0,0
"Martini Dwi Endah Susanti, S.Kom., M.Kom.",S1 Pendidikan Teknologi Informasi,3,0
"Ramadhan Cakra Wibawa, S.Pd., M.Kom.",S1 Pendidikan Teknologi Informasi,3,0
"Harun Al Rosyid, S.T., M.T.",S1 Pendidikan Teknologi Informasi,3,0
"Ir. Rizky Basatha,  S.Pd.,  M.MT.",S1 Pendidikan Teknologi Informasi,1,0
"Riza Akhsani Setyo Prayoga, S.Kom., M.MT.",S1 Pendidikan Teknologi Informasi,1,0
"Muhammad Sonhaji Akbar, S.Pd., M.Kom.",S1 Pendidikan Teknologi Informasi,2,3
"Ersha Aisyah Elfaiz, S.Si., M.T.I.",S1 Pendidikan Teknologi Informasi,1,2
"Nisa Dwi Septiyanti, S.Kom., M.Pd., M.Sc.",S1 Pendidikan Teknologi Informasi,1,2
"Mohammad Wildan Habibi, S.Pd., M.Pd.",S1 Pendidikan Teknologi Informasi,3,0
"Elvira Wardah, S.Pd., M.Ed.",S1 Pendidikan Teknologi Informasi,1,2
"Prof. Dr. Bambang Suprianto, M.T.",S2 Teknik Elektro,0,0
"Prof. Dr. I Gusti Putu Asto Buditjahjanto, S.T., M.T.",S2 Informatika,3,0
"Prof. Dr. Tri Wrahatnolo, M.Pd.  M.T.",S1 Pendidikan Teknologi Informasi,3,0
"Prof. Dr. Joko, M.Pd., M.T.",S3 Pendidikan Vokasi,3,0
"Unit Three Kartini, S.T., M.T., Ph.D.",S2 Teknik Elektro,0,1
"Prof. Dr. Lilik Anifah, S.T., M.T.",S2 Teknik Elektro,0,0
"Dr. Ir. Lusia Rakhmawati, S.T., M.T.",Program Profesi Insinyur,0,1
"Prof. Dr. Nurhayati, S.T., M.T.",S2 Teknik Elektro,3,0
"Dr. Raden Roro Hapsari Peni  Agustin T, S.Si., M.T.",S1 Teknik Elektro,1,0
"Pradini Puspitaningayu, S.T., M.T., Ph.D.",S1 Teknik Elektro,0,1
"Prof. Dr. Puput Wanarti Rusimamto, S.T., M.T.",S2 Pendidikan Teknik Elektro,3,0
"Dr. Subuh Isnur Haryudo, S.T., M.T.",S2 Pendidikan Teknologi Informasi,3,0
"Dr. Ir. Nur Kholis, S.T., M.T.",S2 Pendidikan Teknik Elektro,3,0
"Dr.  Endryansyah, S.T., M.T.",S1 Teknik Elektro,3,0
"Ibrohim, S.T., M.T.",S1 Teknik Elektro,0,1
"Dr. Farid Baskoro, S.T., M.T.",S2 Pendidikan Teknik Elektro,0,0
"Rifqi Firmansyah, S.T., M.T., Ph.D.",S1 Teknik Elektro,0,1
"Arif Widodo, S.T., M.Sc.",S1 Teknik Elektro,0,1
"Miftahur Rohman, S.T., M.T.",S1 Teknik Elektro,0,1
"Parama Diptya Widayaka, S.ST., M.T.",S1 Teknik Elektro,0,1
"Mahendra Widyartono, S.T., M.T.",D4 Teknik Listrik,1,0
"Dr. Widi Aribowo, S.T., M.T.",D4 Teknik Listrik,0,1
"Reza Rahmadian, S.ST., M.EngSc.",D4 Teknik Listrik,0,1
"Aditya Chandra Hermawan, S.ST., M.T.",D4 Teknik Listrik,0,1
"Sayyidul Aulia Alamsyah, S.T., M.T.",S1 Teknik Elektro,0,1
"Yandhika Surya Akbar Gumilang, S.T., M.T.",S1 Teknik Elektro,0,1
"Hesti Khuzaimah Nurul Yusufiyah, S.Si., M.Eng.",S1 Teknik Elektro,0,1
"Ir. Wahyu Sasongko Putro, B.Eng., M.Sc., IPM., ASEAN Eng., APEC Eng.",Program Profesi Insinyur,0,1
"Namira Roudlotul Jannah, S.T., M.T.",S1 Teknik Elektro,0,0
"Dr. Elly Matul Imah, M.Kom.",S1 Kecerdasan Artifisial,0,1
"Riskyana Dewi Intan P, M.Kom.",S1 Kecerdasan Artifisial,0,1
"Fadhilah Qalbi Annisa, S.T., M.Sc.",S1 Kecerdasan Artifisial,0,1
"Harmon Prayogi, M.Sc.",S1 Kecerdasan Artifisial,0,1
"Ike Fitriyaningsih, M.Si",S1 Kecerdasan Artifisial,0,1
"Dr. Atik Wintarti, M.Kom.",S1 Sains Data,3,0
"Ibnu Febry Kurniawan, S.Kom., M.Sc., Ph.D.",S1 Sains Data,0,1
"Yuliani Puji Astuti, S.Si., M.Si.",S1 Sains Data,3,0
"Hasanuddin Al-Habib, M.Si.",S1 Sains Data,0,1
"Ulfa Siti Nuraini, S.Stat., M.Stat.",S1 Sains Data,0,1
"Dinda Galuh Guminta, M.Stat.",S1 Sains Data,1,0
"Kartika Chandra Dewi, S.Si., M.Si.",S1 Sains Data,0,1
"Dr. Heri Purnawan, S.Si., M.Si.",S1 Sains Data,0,1
"Moh. Khoridatul Huda, S.Pd., M.Si., Ph.D.",S1 Sains Data,0,1
"Belgis Ainatul Iza, S.Si, M.Mat.",S1 Sains Data,0,1
"Siska Puspitaningsih, S.Kom., M.Kom.",S1 Sains Data,2,3
"Nurul Laili, S.Pd., M.Sc.",S1 Sains Data,0,1
"Hujjatullah Fazlurrahman, S.E., MBA.",S1 Bisnis Digital,1,2
"Achmad Kautsar, S.E., M.M.",S1 Bisnis Digital,1,2
"Hafid Kholidi Hadi, S.E., M.SM.",S1 Bisnis Digital,1,2
"Ika Diyah Candra Arifah, S.E., M.Com.",S1 Bisnis Digital,1,2
"Riska Dhenabayu, S.Kom., M.M.",S1 Bisnis Digital,1,2
"Fresha Kharisma,  S.E., M.SM.",S1 Bisnis Digital,1,2
"Renny Sari Dewi, S. Kom., M. Kom.",S1 Bisnis Digital,1,2
"Anita Safitri, M. Kom.",S1 Bisnis Digital,1,2
"Dr. Nanang Hoesen. H. A., S.T., M.T.I.",S1 Bisnis Digital,1,2
"Muhammad Fajar Wahyudi Rahman, S.E., M.M.",S1 Bisnis Digital,1,2
"Dr.  Ratih Amelia, S.E., M.M.",S2 Bisnis Digital,1,2
"Nadia Nur Thahirrah, S.E., M.SM.",S1 Bisnis Digital,1,2
"Dr. Dhiyan Septa Wihara, S.P., M.M.",S2 Bisnis Digital,1,2
"Achmad Fitro, S.Kom., M.Kom.",S1 Bisnis Digital,0,1
"Muhammad Febrilian Dwi Syahputra, S.Kom., M.Kom.",S1 Bisnis Digital,3,0
"Dana Azizah Rahmat, S.T., M.T., MBA.",S1 Bisnis Digital,1,2
"Danang Ary Dewangga, S.Kom., M.SM.",S1 Bisnis Digital,2,3
"Rakha Asyrofi, S.ST., M.Kom.",S1 Agribisnis Digital,2,3
"Dodik Arwin Dermawan, S.ST., S.T., M.T.",D4 Manajemen Informatika,3,0
"Asmunin, S.Kom., M.Kom.",D4 Manajemen Informatika,0,0
"Andi Iwan Nurhidayat, S.Kom., M.T.",D4 Manajemen Informatika,3,0
"Ari Kurniawan, S.Kom., M.T.",D4 Manajemen Informatika,3,0
"Salamun Rohman Nudin, S.Kom., M.Kom.",D4 Manajemen Informatika,0,0
"I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",D4 Manajemen Informatika,3,0
"Rosita, S.Pd., M.Pd.",D4 Manajemen Informatika,3,0
"Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",D4 Manajemen Informatika,0,1
"Binti Kholifah, S.Kom., M.Tr.Kom.",D4 Manajemen Informatika,2,3
"Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",D4 Manajemen Informatika,3,0
"Moch Deny Pratama, S.Tr.Kom., M.Kom.",D4 Manajemen Informatika,0,1
"M Adamu Islam Mashuri, S.Tr.T., M.Tr.Kom.",D4 Manajemen Informatika,2,3
"Dr. Fitria, S.Pd., M.Pd.",S2 Industri Kreatif,0,0
"Moch. Badrus Sholeh, S.Kom., M.Kom.",D4 Manajemen Informatika,0,1
"Prof. Dr. Mustaji, M.Pd.",S3 Teknologi Pendidikan,3,0
"Prof.Dr. Rusijono, M.Pd.",S2 Pendidikan Teknologi Informasi,3,0
"Prof. Dr. Siti Masitoh, M.Pd.",S3 Pendidikan Inklusi,3,0
"Prof.Dr.Yatim Riyanto,M.Pd.",S2 Pendidikan Teknologi Informasi,3,0
"Dr. Bachtiar Syaiful Bachri, M.Pd",S2 Pendidikan Teknologi Informasi,3,0
"Dr. H. Andi Mariono, M.Pd.",S2 Teknologi Pendidikan,3,0
"Dr. Fajar Arianto, S.Pd., M.Pd.",S3 Teknologi Pendidikan,3,0
