nama_dosen,degree,constraint,effective_size,degree_centrality,betweenness,closeness,neighbor_topic_diversity,thematic_cluster,broker_typology,n_community_memberships,n_papers_total,inv_constraint,composite_score,rank
"Asmunin, S.Kom., M.Kom.",16,0.22791080531881405,13.383643892339544,0.17391304347826086,0.14617583539222806,0.41818181818181815,1.2475562489182657,0,Semantic Broker,2,58,0.772089194681186,0.7578414060061628,1
"Dr. Ir. Lusia Rakhmawati, S.T., M.T.",13,0.19686813409226878,11.294827586206898,0.14130434782608695,0.14732841150134268,0.45320197044334976,1.2957378005380122,1,Semantic Broker,2,28,0.8031318659077312,0.7354757200602486,2
"Rindu Puspita Wibawa, S.Kom., M.Kom.",9,0.20733443477924796,7.241111111111111,0.09782608695652173,0.09517032661408355,0.416289592760181,1.3516441151533924,0,Semantic Broker,2,40,0.792665565220752,0.6730818475927807,3
"Rifqi Abdillah, M.Kom.",15,0.1775151316890041,12.354938271604938,0.16304347826086957,0.07829212706974249,0.36363636363636365,1.429473298359841,1,Semantic Broker,2,8,0.8224848683109959,0.6558601897493692,4
"Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",11,0.18271660869184614,9.429629629629629,0.11956521739130435,0.0831627871101362,0.41818181818181815,1.4353713907745331,0,Semantic Broker,2,19,0.8172833913081539,0.6553554340276686,5
"Rahadian Bisma, S.Kom., M.Kom.",9,0.2194832596166425,7.584126984126984,0.09782608695652173,0.019656931138991533,0.359375,1.3516441151533922,2,Semantic Broker,2,46,0.7805167403833575,0.5934555042438884,6
"Ardhini Warih Utami, S.Kom., M.Kom.",4,0.34273330122865475,3.3472222222222223,0.043478260869565216,0.013864262301202876,0.32974910394265233,0.8112781244591328,0,Semantic Broker,2,59,0.6572666987713452,0.5754089553988917,7
"Hasanuddin Al-Habib, M.Si.",7,0.2756763307961527,5.6952380952380945,0.07608695652173914,0.028792462479095688,0.37398373983739835,1.3787834934861756,1,Semantic Broker,2,4,0.7243236692038473,0.5732383172611673,8
"Paramitha Nerisafitra, S.ST., M.Kom.",4,0.3326374113206657,3.5634920634920637,0.043478260869565216,0.007826123220867292,0.33093525179856115,0.8112781244591328,1,Semantic Broker,2,56,0.6673625886793343,0.5675634025503052,9
"Monica Cinthya, M.Kom.",7,0.29990532461384134,4.984126984126984,0.07608695652173914,0.021330223323957665,0.3524904214559387,0.8631205685666311,1,Semantic Broker,2,10,0.7000946753861587,0.5674649306546617,10
"Ghea Sekar Palupi, S.Kom., M.I.M.",5,0.30535043269008283,3.7333333333333334,0.05434782608695652,0.0018328170740975315,0.34980988593155893,1.5219280948873626,2,Semantic Broker,2,34,0.6946495673099171,0.5530766178917829,11
"Cendra Devayana Putra, S.Kom., M.IM.",2,0.5868388171595169,1.4444444444444444,0.021739130434782608,0.0,0.32857142857142857,0.0,1,Local Specialist,2,26,0.4131611828404831,0.5283919903030789,12
"Dr. Nanang Hoesen. H. A., S.T., M.T.I.",14,0.26774034121542617,10.110752688172042,0.15217391304347827,0.24576792255363686,0.3770491803278688,1.287054028118727,2,Semantic Broker,1,44,0.7322596587845738,0.35409286076309604,13
