source,target,weight
"Aditya Prapanca, S.T., M.Kom.","Dr. Widi Aribowo, S.T., M.T.",8
"Aditya Prapanca, S.T., M.Kom.","Agus Prihanto, S.T., M.Kom.",2
"Aditya Prapanca, S.T., M.Kom.","Anita Qoiriah, S.Kom., M.Kom.",1
"Aditya Prapanca, S.T., M.Kom.","Dr. Yuni Yamasari, S.Kom., M.Kom.",3
"Aditya Prapanca, S.T., M.Kom.","Naim Rochmawati, S.Kom., M.T.",2
"Aditya Prapanca, S.T., M.Kom.","Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",1
"Aditya Prapanca, S.T., M.Kom.","Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",2
"Aditya Prapanca, S.T., M.Kom.","Reza Rahmadian, S.ST., M.EngSc.",4
"Aditya Prapanca, S.T., M.Kom.","Prof. Dr. Bambang Suprianto, M.T.",3
"Aditya Prapanca, S.T., M.Kom.","Unit Three Kartini, S.T., M.T., Ph.D.",1
"Aditya Prapanca, S.T., M.Kom.","Dr.  Wiyli Yustanti, S.Si., M.Kom.",1
"Anita Qoiriah, S.Kom., M.Kom.","Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",7
"Anita Qoiriah, S.Kom., M.Kom.","Dr. Yuni Yamasari, S.Kom., M.Kom.",18
"Anita Qoiriah, S.Kom., M.Kom.","Naim Rochmawati, S.Kom., M.T.",11
"Anita Qoiriah, S.Kom., M.Kom.","Agus Prihanto, S.T., M.Kom.",5
"Anita Qoiriah, S.Kom., M.Kom.","Dr.  Wiyli Yustanti, S.Si., M.Kom.",6
"Anita Qoiriah, S.Kom., M.Kom.","Rahadian Bisma, S.Kom., M.Kom.",2
"Anita Qoiriah, S.Kom., M.Kom.","Asmunin, S.Kom., M.Kom.",3
"Anita Qoiriah, S.Kom., M.Kom.","Dr. Atik Wintarti, M.Kom.",1
"Anita Qoiriah, S.Kom., M.Kom.","Prof. Dr. Puput Wanarti Rusimamto, S.T., M.T.",1
"Anita Qoiriah, S.Kom., M.Kom.","Dr. Yeni Anistyasari, S.Pd., M.Kom.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",6
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Naim Rochmawati, S.Kom., M.T.",15
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Ir. Lusia Rakhmawati, S.T., M.T.",3
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Pradini Puspitaningayu, S.T., M.T., Ph.D.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Agus Prihanto, S.T., M.Kom.",5
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr.  Wiyli Yustanti, S.Si., M.Kom.",9
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Rindu Puspita Wibawa, S.Kom., M.Kom.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Ari Kurniawan, S.Kom., M.T.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Paramitha Nerisafitra, S.ST., M.Kom.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Farid Baskoro, S.T., M.T.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Widi Aribowo, S.T., M.T.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Miftahur Rohman, S.T., M.T.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Asmunin, S.Kom., M.Kom.",3
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Atik Wintarti, M.Kom.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Prof. Dr. Puput Wanarti Rusimamto, S.T., M.T.",2
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Dr. Yeni Anistyasari, S.Pd., M.Kom.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Prof. Dr. Ekohariadi, M.Pd.",1
"Dr. Yuni Yamasari, S.Kom., M.Kom.","Prof. Dr. Lilik Anifah, S.T., M.T.",1
"Agus Prihanto, S.T., M.Kom.","Naim Rochmawati, S.Kom., M.T.",3
"Agus Prihanto, S.T., M.Kom.","Dr.  Wiyli Yustanti, S.Si., M.Kom.",2
"Agus Prihanto, S.T., M.Kom.","Asmunin, S.Kom., M.Kom.",1
"Agus Prihanto, S.T., M.Kom.","Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",1
"Agus Prihanto, S.T., M.Kom.","Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",1
"Agus Prihanto, S.T., M.Kom.","Drs. Bambang Sujatmiko, M.T.",1
"Agus Prihanto, S.T., M.Kom.","Rindu Puspita Wibawa, S.Kom., M.Kom.",1
"Agus Prihanto, S.T., M.Kom.","Rahadian Bisma, S.Kom., M.Kom.",1
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.","Dr.  Wiyli Yustanti, S.Si., M.Kom.",2
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.","Paramitha Nerisafitra, S.ST., M.Kom.",1
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.","Rahadian Bisma, S.Kom., M.Kom.",2
