dosen,topic,weight
"Aditya Prapanca, S.T., M.Kom.",0,0.9999999999960305
"Anita Qoiriah, S.Kom., M.Kom.",0,0.8520421614892487
"Dr. Yuni Yamasari, S.Kom., M.Kom.",0,0.8876612981774957
"Agus Prihanto, S.T., M.Kom.",0,0.89690256354726
"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",0,0.8965310521498479
"I Made Suartana, S.Kom., M.Kom.",2,0.9912884892067103
"Naim Rochmawati, S.Kom., M.T.",0,0.9086527049045229
"Paramitha Nerisafitra, S.ST., M.Kom.",0,0.9999999999950572
"Ronggo Alit, M.M., M.T.",0,0.835758257122491
"Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",0,0.8783262488661866
"Farhanna Mari, S.Kom., M.Kom.",0,0.8532495701900793
"Rifqi Abdillah, M.Kom.",0,0.8289281429609292
"Dr.  Wiyli Yustanti, S.Si., M.Kom.",0,0.8356223200381513
"Dwi Fatrianto Suyatno, S.Kom., M.Kom.",2,0.9850275591792074
"Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",0,0.3926845792547334
"Ardhini Warih Utami, S.Kom., M.Kom.",3,0.48472608529624256
"Rahadian Bisma, S.Kom., M.Kom.",1,0.5472862703728644
"Ghea Sekar Palupi, S.Kom., M.I.M.",1,0.5980142183630442
"Bonda Sisephaputra, M. Kom.",1,0.5734663866734142
"Berlian Maulidya Izzati, S.Kom. M.Kom.",1,0.7550917780733837
"Anggraeni Widya Purwita, M.Kom.",1,0.8120544068082373
"Monica Cinthya, M.Kom.",0,0.6495976757236479
"Cendra Devayana Putra, S.Kom., M.IM.",0,0.8797417304874644
"Erik Rahman, S.Kom., M.M.S.I.",2,0.8792853152585132
"Prof. Dr. Ekohariadi, M.Pd.",3,0.982565144738618
"Drs. Bambang Sujatmiko, M.T.",3,0.615699073671569
"Dr. Tri Rijanto, M.Pd., M.T.",3,0.9254538674779587
"Dr. Yeni Anistyasari, S.Pd., M.Kom.",3,0.5584270200076369
"I Gusti Lanang Putra Eka Prismana, S.Kom., M.Kom.",2,0.9965409538791106
"Rindu Puspita Wibawa, S.Kom., M.Kom.",0,0.47513193335031045
"Martini Dwi Endah Susanti, S.Kom., M.Kom.",3,0.44505162616709604
"Ramadhan Cakra Wibawa, S.Pd., M.Kom.",3,0.9294376950653361
"Harun Al Rosyid, S.T., M.T.",3,0.9999999999959704
"Ir. Rizky Basatha,  S.Pd.,  M.MT.",1,0.5216201041081422
"Riza Akhsani Setyo Prayoga, S.Kom., M.MT.",1,0.47250330757322717
"Muhammad Sonhaji Akbar, S.Pd., M.Kom.",2,0.9999999999979022
"Ersha Aisyah Elfaiz, S.Si., M.T.I.",1,0.6294966667189822
"Nisa Dwi Septiyanti, S.Kom., M.Pd., M.Sc.",1,0.5637301328793949
"Mohammad Wildan Habibi, S.Pd., M.Pd.",3,0.9999999999970479
"Elvira Wardah, S.Pd., M.Ed.",1,0.6194062349484615
"Prof. Dr. Bambang Suprianto, M.T.",0,0.6307731884385955
"Prof. Dr. I Gusti Putu Asto Buditjahjanto, S.T., M.T.",3,0.74220072774018
"Prof. Dr. Tri Wrahatnolo, M.Pd.  M.T.",3,0.9476243837952434
"Prof. Dr. Joko, M.Pd., M.T.",3,0.8114728906003015
"Unit Three Kartini, S.T., M.T., Ph.D.",0,0.9999999999958189
"Prof. Dr. Lilik Anifah, S.T., M.T.",0,0.5073303413822688
"Dr. Ir. Lusia Rakhmawati, S.T., M.T.",0,0.811862088711881
"Prof. Dr. Nurhayati, S.T., M.T.",3,0.5206200722670765
"Dr. Raden Roro Hapsari Peni  Agustin T, S.Si., M.T.",1,0.44814567799213595
"Pradini Puspitaningayu, S.T., M.T., Ph.D.",0,0.7589648600496717
"Prof. Dr. Puput Wanarti Rusimamto, S.T., M.T.",3,0.8273224217457309
"Dr. Subuh Isnur Haryudo, S.T., M.T.",3,0.6993364416133352
"Dr. Ir. Nur Kholis, S.T., M.T.",3,0.45783423601532103
"Dr.  Endryansyah, S.T., M.T.",3,0.8777444337515776
"Ibrohim, S.T., M.T.",0,0.7962580798578975
"Dr. Farid Baskoro, S.T., M.T.",0,0.6409668812282441
"Rifqi Firmansyah, S.T., M.T., Ph.D.",0,0.9999999999867998
"Arif Widodo, S.T., M.Sc.",0,0.7362593510193591
"Miftahur Rohman, S.T., M.T.",0,0.8145964772650114
"Parama Diptya Widayaka, S.ST., M.T.",0,0.7291909314566508
"Mahendra Widyartono, S.T., M.T.",1,0.37077690107023487
"Dr. Widi Aribowo, S.T., M.T.",0,0.9999999999962195
"Reza Rahmadian, S.ST., M.EngSc.",0,0.8403032953768638
"Aditya Chandra Hermawan, S.ST., M.T.",0,0.8149033222929157
"Sayyidul Aulia Alamsyah, S.T., M.T.",0,0.8562170543844646
"Yandhika Surya Akbar Gumilang, S.T., M.T.",0,0.9999999999831563
"Hesti Khuzaimah Nurul Yusufiyah, S.Si., M.Eng.",0,0.9999999999916087
"Ir. Wahyu Sasongko Putro, B.Eng., M.Sc., IPM., ASEAN Eng., APEC Eng.",0,0.8545844804970858
"Namira Roudlotul Jannah, S.T., M.T.",0,0.4926564823670197
"Dr. Elly Matul Imah, M.Kom.",0,0.9999999999967469
"Riskyana Dewi Intan P, M.Kom.",0,0.9999999999962428
"Fadhilah Qalbi Annisa, S.T., M.Sc.",0,0.9882739516276356
"Harmon Prayogi, M.Sc.",0,0.8527691849169776
"Ike Fitriyaningsih, M.Si",0,0.9484576643199211
"Dr. Atik Wintarti, M.Kom.",3,0.47442085899969405
"Ibnu Febry Kurniawan, S.Kom., M.Sc., Ph.D.",0,0.6233332306980335
"Yuliani Puji Astuti, S.Si., M.Si.",3,0.7898865975830685
"Hasanuddin Al-Habib, M.Si.",0,0.9909737213886635
"Ulfa Siti Nuraini, S.Stat., M.Stat.",0,0.9999999999948919
"Dinda Galuh Guminta, M.Stat.",1,0.4081944169937735
"Kartika Chandra Dewi, S.Si., M.Si.",0,0.9511228514981367
"Dr. Heri Purnawan, S.Si., M.Si.",0,0.8695778571954685
"Moh. Khoridatul Huda, S.Pd., M.Si., Ph.D.",0,0.9999999999921382
"Belgis Ainatul Iza, S.Si, M.Mat.",0,0.9143820072689535
"Siska Puspitaningsih, S.Kom., M.Kom.",2,0.9608217628623785
"Nurul Laili, S.Pd., M.Sc.",0,0.7304908895810973
"Hujjatullah Fazlurrahman, S.E., MBA.",1,0.9779970134008146
"Achmad Kautsar, S.E., M.M.",1,0.9999999999980326
"Hafid Kholidi Hadi, S.E., M.SM.",1,0.9288202760799386
"Ika Diyah Candra Arifah, S.E., M.Com.",1,0.9999999999982672
"Riska Dhenabayu, S.Kom., M.M.",1,0.8307338170664265
"Fresha Kharisma,  S.E., M.SM.",1,0.9999999999980484
"Renny Sari Dewi, S. Kom., M. Kom.",1,0.8809929368980041
"Anita Safitri, M. Kom.",1,0.9828453358484223
"Dr. Nanang Hoesen. H. A., S.T., M.T.I.",1,0.9317411303798909
"Muhammad Fajar Wahyudi Rahman, S.E., M.M.",1,0.8877020765655782
"Dr.  Ratih Amelia, S.E., M.M.",1,0.9999999999980153
"Nadia Nur Thahirrah, S.E., M.SM.",1,0.9978110933801598
"Dr. Dhiyan Septa Wihara, S.P., M.M.",1,0.8246371260105787
"Achmad Fitro, S.Kom., M.Kom.",0,0.7790961167266556
"Muhammad Febrilian Dwi Syahputra, S.Kom., M.Kom.",3,0.7325978619957602
"Dana Azizah Rahmat, S.T., M.T., MBA.",1,0.9874251573187889
"Danang Ary Dewangga, S.Kom., M.SM.",2,0.9999999999960913
"Rakha Asyrofi, S.ST., M.Kom.",2,0.6255229257865998
"Dodik Arwin Dermawan, S.ST., S.T., M.T.",3,0.4659169408839835
"Asmunin, S.Kom., M.Kom.",0,0.6266837446940478
"Andi Iwan Nurhidayat, S.Kom., M.T.",3,0.5695619735279048
"Ari Kurniawan, S.Kom., M.T.",3,0.5555464989619276
"Salamun Rohman Nudin, S.Kom., M.Kom.",0,0.4601163140775931
"I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",3,0.4711420940904572
"Rosita, S.Pd., M.Pd.",3,0.8881166614891467
"Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",0,0.8755859712907362
"Binti Kholifah, S.Kom., M.Tr.Kom.",2,0.9164341392107808
"Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",3,0.5466170781341576
"Moch Deny Pratama, S.Tr.Kom., M.Kom.",0,0.6944504906095059
"M Adamu Islam Mashuri, S.Tr.T., M.Tr.Kom.",2,0.8244087603404733
"Dr. Fitria, S.Pd., M.Pd.",0,0.4430594039820048
"Moch. Badrus Sholeh, S.Kom., M.Kom.",0,0.5533235866012532
"Prof. Dr. Mustaji, M.Pd.",3,0.9850747945107386
"Prof.Dr. Rusijono, M.Pd.",3,0.5705959856381914
"Prof. Dr. Siti Masitoh, M.Pd.",3,0.9615704719843003
"Prof.Dr.Yatim Riyanto,M.Pd.",3,0.670969902201837
"Dr. Bachtiar Syaiful Bachri, M.Pd",3,0.9999999999980173
"Dr. H. Andi Mariono, M.Pd.",3,0.9919139230557729
"Dr. Fajar Arianto, S.Pd., M.Pd.",3,0.9680262522687093
