dosen_id,nama_dosen,prodi,n_papers_total,thematic_cluster,thematic_cluster_name,structural_community,n_community_memberships,constraint,betweenness,broker_typology,composite_rank_score
1117406.0,"Aditya Prapanca, S.T., M.Kom.",S1 Teknik Informatika,89,1,Computing & Artificial Intelligence,2,1,0.3331847652594062,0.02357199737718268,Structural Broker (Within-Topic),0.1247537784919526
25016903.0,"Anita Qoiriah, S.Kom., M.Kom.",S1 Teknik Informatika,112,1,Computing & Artificial Intelligence,4,1,0.4055523312901013,0.01043485676736592,Thematic Bridge (Embedded),0.1202155261473297
2067504.0,"Dr. Yuni Yamasari, S.Kom., M.Kom.",S2 Informatika,37,1,Computing & Artificial Intelligence,4,1,0.2824983738969705,0.09921029296411042,Semantic Broker,0.2129346729808777
6087903.0,"Agus Prihanto, S.T., M.Kom.",S1 Teknik Informatika,87,1,Computing & Artificial Intelligence,4,1,0.3821295062645462,0.04301538739517485,Thematic Bridge (Embedded),0.14320747018017338
716018704.0,"Dr. Ir. Ricky Eka Putra, S.Kom., M.Kom.",S2 Informatika,21,1,Computing & Artificial Intelligence,4,1,0.48446816951411914,0.0069462114794558594,Thematic Bridge (Embedded),0.05632836186638523
24118405.0,"I Made Suartana, S.Kom., M.Kom.",S1 Teknik Informatika,75,3,Applied Information Technology & Systems,-1,0,,,Unclassified,
3127502.0,"Naim Rochmawati, S.Kom., M.T.",S1 Teknik Informatika,70,1,Computing & Artificial Intelligence,4,1,0.3368434024868087,0.04411235060791924,Semantic Broker,0.14840402614965975
729058902.0,"Paramitha Nerisafitra, S.ST., M.Kom.",S1 Teknik Informatika,56,1,Computing & Artificial Intelligence,4,2,0.3326374113206657,0.007826123220867292,Semantic Broker,0.5675634025503052
708128403.0,"Ronggo Alit, M.M., M.T.",Pendidikan Profesi Guru,3,1,Computing & Artificial Intelligence,-1,0,,,Unclassified,
1079106.0,"Ervin Yohannes, S.Kom., M.Kom., M.Sc., Ph.D.",S2 Informatika,8,1,Computing & Artificial Intelligence,2,1,0.46024410969622015,0.0,Thematic Bridge (Embedded),0.02822153418606638
707039601.0,"Farhanna Mari, S.Kom., M.Kom.",S1 Teknik Informatika,32,1,Computing & Artificial Intelligence,1,1,0.3233740689562862,0.008754703883886036,Semantic Broker,0.0668915790207592
1119901.0,"Rifqi Abdillah, M.Kom.",S1 Teknik Informatika,8,1,Computing & Artificial Intelligence,1,2,0.1775151316890041,0.07829212706974249,Semantic Broker,0.6558601897493692
3027708.0,"Dr.  Wiyli Yustanti, S.Si., M.Kom.",S2 Informatika,23,1,Computing & Artificial Intelligence,4,1,0.23514531943708328,0.1731133594253613,Semantic Broker,0.29350616833723653
14048107.0,"Dr. I Kadek Dwi Nuryana, S.T., M.Kom.",S1 Pendidikan Teknologi Informasi,0,-1,,-1,0,,,Unclassified,
20127904.0,"Dwi Fatrianto Suyatno, S.Kom., M.Kom.",S1 Sistem Informasi,65,3,Applied Information Technology & Systems,-1,0,,,Unclassified,
12048006.0,"Dr. Aries Dwi Indriyanti, S.Kom., M.Kom.",S1 Sistem Informasi,19,0,Educational Technology & Engineering,4,2,0.18271660869184614,0.0831627871101362,Semantic Broker,0.6553554340276686
21028109.0,"Ardhini Warih Utami, S.Kom., M.Kom.",S1 Sistem Informasi,59,0,Educational Technology & Engineering,1,2,0.34273330122865475,0.013864262301202876,Semantic Broker,0.5754089553988917
9028702.0,"Rahadian Bisma, S.Kom., M.Kom.",S1 Sistem Informasi,46,2,Digital Business & Information Systems,4,2,0.2194832596166425,0.019656931138991533,Semantic Broker,0.5934555042438884
9039301.0,"Ghea Sekar Palupi, S.Kom., M.I.M.",S1 Sistem Informasi,34,2,Digital Business & Information Systems,4,2,0.30535043269008283,0.0018328170740975315,Semantic Broker,0.5530766178917829
710038801.0,"Bonda Sisephaputra, M. Kom.",S1 Informatika (Kampus Kabupaten Magetan),36,2,Digital Business & Information Systems,1,1,0.45390624999999996,0.0009613574830966133,Thematic Bridge (Embedded),0.04735616529818593
421089301.0,"Berlian Maulidya Izzati, S.Kom. M.Kom.",S1 Sistem Informasi,30,2,Digital Business & Information Systems,1,1,0.4308333333333334,0.0012701067048893134,Thematic Bridge (Embedded),0.04528208306149225
8029505.0,"Anggraeni Widya Purwita, M.Kom.",S1 Sistem Informasi,12,2,Digital Business & Information Systems,1,1,0.21861712888601942,0.03527119440087575,Semantic Broker,0.09740569184801617
